dish_name,ingredient_name
Spaghetti Bolognese,Pasta
Spaghetti Bolognese,Ground Beef
Spaghetti Bolognese,Tomato Sauce
Spaghetti Bolognese,Onions
Spaghetti Bolognese,Garlic
Chicken Alfredo,Fettuccine
Chicken Alfredo,Chicken Breast
Chicken Alfredo,Heavy Cream
Chicken Alfredo,Parmesan
Chicken Alfredo,Garlic
Margherita Pizza,Pizza Dough
Margherita Pizza,Tomato Sauce
Margherita Pizza,Fresh Mozzarella
Margherita Pizza,Basil
Margherita Pizza,Olive Oil
Caesar Salad,Romaine Lettuce
Caesar Salad,Chicken Breast
Caesar Salad,Parmesan
Caesar Salad,Croutons
Caesar Salad,Caesar Dressing
Beef Tacos,Ground Beef
Beef Tacos,Taco Shells
Beef Tacos,Cheddar Cheese
Beef Tacos,Lettuce
Beef Tacos,Tomatoes
Chicken Stir-Fry,Chicken Breast
Chicken Stir-Fry,Broccoli
Chicken Stir-Fry,Carrots
Chicken Stir-Fry,Soy Sauce
Chicken Stir-Fry,Ginger
Veggie Lovers Pizza,Pizza Dough
Veggie Lovers Pizza,Tomato Sauce
Veggie Lovers Pizza,Mushrooms
Veggie Lovers Pizza,Bell Peppers
Veggie Lovers Pizza,Olives
Shrimp Scampi,Shrimp
Shrimp Scampi,Linguine
Shrimp Scampi,Garlic
Shrimp Scampi,Butter
Shrimp Scampi,Parsley
Fish and Chips,Cod Fillets
Fish and Chips,French Fries
Fish and Chips,Tartar Sauce
Fish and Chips,Coleslaw
Fish and Chips,Lemon
Caprese Salad,Tomatoes
Caprese Salad,Fresh Mozzarella
Caprese Salad,Basil
Caprese Salad,Balsamic Glaze
Caprese Salad,Olive Oil
Chicken Parmesan,Chicken Breast
Chicken Parmesan,Pasta
Chicken Parmesan,Tomato Sauce
Chicken Parmesan,Parmesan
Veggie Wrap,Tortillas
Veggie Wrap,Hummus
Veggie Wrap,Cucumbers
Veggie Wrap,Tomatoes
Veggie Wrap,Spinach
Steak Fajitas,Flank Steak
Steak Fajitas,Bell Peppers
Steak Fajitas,Onions
Steak Fajitas,Tortillas
Steak Fajitas,Sour Cream
Mushroom Risotto,Rice
Mushroom Risotto,Mushrooms
Mushroom Risotto,Chicken Broth
Mushroom Risotto,White Wine
Mushroom Risotto,Parmesan
Hawaiian Burger,Ground Beef
Hawaiian Burger,Pineapple
Hawaiian Burger,Swiss Cheese
Hawaiian Burger,Teriyaki Sauce
Hawaiian Burger,Burger Bun
Caprese Panini,Ciabatta Bread
Caprese Panini,Fresh Mozzarella
Caprese Panini,Tomatoes
Caprese Panini,Basil
Caprese Panini,Pesto
Salmon Teriyaki,Salmon Fillet
Salmon Teriyaki,Soy Sauce
Salmon Teriyaki,Ginger
Salmon Teriyaki,Garlic
Salmon Teriyaki,Sesame Seeds
Greek Salad,Olives
Greek Salad,Feta Cheese
Greek Salad,Cucumbers
Greek Salad,Tomatoes
Greek Salad,Onions
Spicy Shrimp Tacos,Shrimp
Spicy Shrimp Tacos,Taco Shells
Spicy Shrimp Tacos,Avocado
Spicy Shrimp Tacos,Cilantro
Spicy Shrimp Tacos,Lime
Lemon Herb Chicken,Chicken Breast
Lemon Herb Chicken,Lemon
Lemon Herb Chicken,Herbs
Lemon Herb Chicken,Butter
Lemon Herb Chicken,White Wine
